file,status,has_paid,receipt_for,keyword_class,allocation,split_detail,subtotal_zar,vat_zar,total_zar
2026-02-17T19-54 Transaction #25672124065805895-25779747541710211.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 24.43 VAT 3.66 total 28.09; Vaalpenskraal: sub 8.57 VAT 1.29 total 9.86,33.00,4.95,37.95
2026-02-17T21-47 Transaction #25780510434967255-25780510468300585.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 26.55 VAT 3.98 total 30.53; Vaalpenskraal: sub 6.45 VAT 0.97 total 7.42,33.00,4.95,37.95
2026-02-18T02-16 Transaction #25741769645508009-25782175054800793.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 23.35 VAT 3.50 total 26.85; Vaalpenskraal: sub 9.65 VAT 1.45 total 11.10,33.00,4.95,37.95
2026-02-18T22-26 Transaction #25846110825073887-25781444398207199.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 418.56 VAT 62.78 total 481.34; Vaalpenskraal: sub 58.44 VAT 8.77 total 67.21,477.00,71.55,548.55
2026-02-19T13-09 Transaction #25688599137491721-25787129990971973.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 444.79 VAT 66.72 total 511.51; Vaalpenskraal: sub 32.21 VAT 4.83 total 37.04,477.00,71.55,548.55
2026-02-19T22-45 Transaction #25800392739645691-25791298690555103.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 372.24 VAT 55.84 total 428.08; Vaalpenskraal: sub 48.76 VAT 7.31 total 56.07,421.00,63.15,484.15
2026-02-21T15-45 Transaction #25817172277967737-25817172344634397.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 301.25 VAT 45.19 total 346.44; Vaalpenskraal: sub 136.75 VAT 20.51 total 157.26,438.00,65.70,503.70
2026-02-22T08-53 Transaction #25762689936749314-25798993883118913.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 421.16 VAT 63.17 total 484.33; Vaalpenskraal: sub 57.84 VAT 8.68 total 66.52,479.00,71.85,550.85
2026-02-22T19-14 Transaction #25788172360867737-25803458122672489.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 543.28 VAT 81.49 total 624.77; Vaalpenskraal: sub 75.72 VAT 11.36 total 87.08,619.00,92.85,711.85
2026-02-23T14-41 Transaction #25986683797683254-25810524165299218.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 461.26 VAT 69.19 total 530.45; Vaalpenskraal: sub 107.74 VAT 16.16 total 123.90,569.00,85.35,654.35
2026-02-24T16-54 Transaction #25739037822447852-25837711635913808.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 43.33 VAT 6.50 total 49.83; Vaalpenskraal: sub 36.91 VAT 5.54 total 42.45,80.24,12.04,92.28
2026-02-24T16-54 Transaction #25785152484503059-25912649308420034.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 40.12 VAT 6.02 total 46.14,40.12,6.02,46.14
2026-02-25T05-22 Transaction #25826603487024619-25790257720659202.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 13.58 VAT 2.04 total 15.62; Vaalpenskraal: sub 51.63 VAT 7.74 total 59.37,65.21,9.78,74.99
2026-02-25T05-27 Transaction #25811308231887483-25811308275220812.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 72.00 VAT 10.80 total 82.80; Vaalpenskraal: sub 42.11 VAT 6.32 total 48.43,114.11,17.12,131.23
2026-02-25T05-32 Transaction #26002913982726902-25744222588596042.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 169.19 VAT 25.37 total 194.56; Vaalpenskraal: sub 1.97 VAT 0.30 total 2.27,171.16,25.67,196.83
2026-02-25T05-36 Transaction #25826695997015368-25917881841230114.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 171.16 VAT 25.67 total 196.83,171.16,25.67,196.83
2026-02-26T06-11 Transaction #25917929011225401-25816905841327720.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 94.79 VAT 14.22 total 109.01; Vaalpenskraal: sub 171.53 VAT 25.73 total 197.26,266.32,39.95,306.27
2026-03-03T09-13 Transaction #25887624890922478-25912775098407454.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 233.88 VAT 35.08 total 268.96; Vaalpenskraal: sub 297.95 VAT 44.69 total 342.64,531.83,79.77,611.60
2026-03-11T21-53 Transaction #25988543690830601-25889216214096678.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 80.46 VAT 12.07 total 92.53,80.46,12.07,92.53
2026-03-11T21-53 Transaction #26063178746700422-25996857219999241.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 40.23 VAT 6.03 total 46.26,40.23,6.03,46.26
2026-03-17T05-22 Transaction #26202499949434970-25942755325409433.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 66.28 VAT 9.94 total 76.22,66.28,9.94,76.22
2026-03-20T10-22 Transaction #26076727408678895-26141493482202285.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 463.95 VAT 69.59 total 533.54,463.95,69.59,533.54
2026-03-21T15-44 Transaction #26156457527372547-26038200159198289.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 40.15 VAT 6.02 total 46.17,40.15,6.02,46.17
2026-03-23T01-07 Transaction #26115376014814027-26267733912911573.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 42.57 VAT 6.39 total 48.96,42.57,6.39,48.96
2026-03-25T02-21 Transaction #26076134168738221-26091867397164895.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 39.99 VAT 6.00 total 45.99,39.99,6.00,45.99
2026-03-25T02-21 Transaction #26137988012552827-26129635226721446.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 79.98 VAT 12.00 total 91.98,79.98,12.00,91.98
2026-03-25T02-21 Transaction #26204321789252783-26091868900498078.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 159.96 VAT 23.99 total 183.95,159.96,23.99,183.95
2026-03-26T10-22 Transaction #26107326125619022-26091635930521378.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 360.03 VAT 54.00 total 414.03,360.03,54.00,414.03
2026-03-29T02-43 Transaction #26176512228700412-26159779150373716.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 40.84 VAT 6.13 total 46.97,40.84,6.13,46.97
